Tray,Rep,Clutch,E?,I?,Photo #,size,actual size,D.O.B,C1,days after birth,C1#,C2,days after birth  2,C2#,C3,days after birth  3,C3#,C4,days after birth  4,C4#,C5,days after birth  5,C5#,C6,days after birth  6,C6#,C7,days after birth  7,C7#,C8,days after birth  8,C8#,D.O.D,28 days post exposure,Absorbance at 650nm 1,Absorbance at 650nm 2,Absorbance at 650nm 3,Absorbance at 650nm mean,Control mean,Feeding rate,total.repro
C1 T3,19,1,U,U,3429,419.562,0.685518499,07/31/2014,08/10/14,10,11,08/13/2014,13,13,08/17/2014,17,12,08/21/2014,21,9,08/25/2014,25,9,08/29/2014,29,7,09/02/14,33,6,,,,,09/02/14,0.047,0.048,0.048,0.047666667,0.047166667,-0.0005,67
C1 T3,20,1,U,U,3431,458.791,0.749614402,07/31/2014,08/10/14,10,18,08/13/2014,13,11,08/17/2014,17,14,08/21/2014,21,10,08/25/2014,25,12,08/29/2014,29,9,09/01/14,32,9,,,,,09/02/14,0.047,0.047,0.046,0.046666667,0.047166667,0.0005,83
C1 T3,21,1,U,U,3432,442.976,0.723774419,07/31/2014,08/10/14,10,19,08/13/2014,13,10,08/17/2014,17,14,08/21/2014,21,10,08/25/2014,25,8,08/29/2014,29,8,,,,,,,,09/02/14,0.045,0.044,0.045,0.044666667,0.047166667,0.0025,69
C1 T3,23,1,U,U,3436,413.697,0.675935729,07/31/2014,08/12/14,12,17,08/16/2014,16,9,08/20/2014,20,7,08/24/2014,24,8,08/28/2014,28,7,09/01/14,32,6,,,,,,,,09/02/14,0.045,0.046,0.047,0.046,0.047166667,0.001166667,54
C1 T3,24,1,U,U,3438,516.634,0.844123548,07/31/2014,08/10/14,10,5,08/13/2014,13,15,08/16/2014,16,9,08/20/2014,20,9,08/24/2014,24,8,08/28/2014,28,8,09/01/14,32,7,,,,,09/02/14,0.045,0.046,0.044,0.045,0.047166667,0.002166667,61
C2 T1,23,2,U,U,3486,612.826,0.810514552,08/03/14,08/13/2014,10,19,08/17/2014,14,9,08/21/2014,18,9,08/25/2014,22,9,08/29/2014,26,9,09/02/14,30,7,,,,,,,,09/05/14,0.046,0.047,0.049,0.047333333,0.046055556,-0.001277778,62
C2 T1,9,2,U,U,3488,599.627,0.793057751,08/03/14,08/13/2014,10,22,08/17/2014,14,10,08/21/2014,18,6,08/25/2014,22,7,08/29/2014,26,8,09/03/14,31,7,,,,,,,,09/05/14,0.045,0.045,0.045,0.045,0.046055556,0.001055556,60
C2 T1,19,2,U,U,3490,650.438,0.860259624,08/03/14,08/14/2014,11,18,08/17/2014,14,10,08/22/2014,19,3,08/25/2014,22,11,08/29/2014,26,11,09/03/14,31,7,,,,,,,,09/05/14,0.045,0.044,0.046,0.045,0.046055556,0.001055556,60
C2 T1,21,2,U,U,3492,629.318,0.832326626,08/03/14,08/16/2014,13,15,08/20/2014,17,9,08/25/2014,22,5,08/28/2014,25,7,09/02/14,30,4,09/06/14,34,4,,,,,,,,09/05/14,0.046,0.044,0.047,0.045666667,0.046055556,0.000388889,44
C2 T1,5,2,U,U,3494,620.738,0.820978845,08/03/14,08/13/2014,10,6,08/17/2014,14,14,08/21/2014,18,5,08/25/2014,22,7,08/29/2014,26,8,09/03/14,31,5,,,,,,,,09/05/14,0.044,0.046,0.045,0.045,0.046055556,0.001055556,45
C2 T1,10,2,U,U,3496,615.408,0.813929467,08/03/14,08/13/2014,10,10,08/17/2014,14,7,08/21/2014,18,6,08/25/2014,22,9,08/29/2014,26,8,09/02/14,30,10,,,,,,,,09/05/14,0.044,0.046,0.047,0.045666667,0.046055556,0.000388889,50
C2 T1,15,2,U,U,3500,619.082,0.818788644,08/03/14,08/13/2014,10,16,08/17/2014,14,10,08/21/2014,18,7,08/25/2014,22,8,08/29/2014,26,8,,,,,,,,,,3492374400,09/05/14,0.045,0.044,0.044,0.044333333,0.046055556,0.001722222,49
C2 T2,16,2,U,U,3508,635.912,0.841047752,08/03/14,08/14/2014,11,14,08/17/2014,14,17,08/21/2014,18,5,08/25/2014,22,12,08/29/2014,26,12,09/02/14,30,7,,,,,,,,09/05/14,0.045,0.045,0.045,0.045,0.045555556,0.000555556,67
C2 T2,3,2,U,U,3510,630.492,0.833879341,08/03/14,08/13/2014,10,18,08/17/2014,14,4,08/22/2014,19,2,08/25/2014,22,8,08/29/2014,26,11,09/02/14,30,6,,,,,,,,09/05/14,0.044,0.045,0.045,0.044666667,0.045555556,0.000888889,49
C2 T2,11,2,U,U,3514,631.626,0.835379152,08/03/14,08/14/2014,11,15,08/17/2014,14,18,08/21/2014,18,4,08/25/2014,22,9,08/29/2014,26,11,09/02/14,30,6,,,,,,,,09/05/14,0.044,0.044,0.045,0.044333333,0.045555556,0.001222222,63
C2 T2,4,2,U,U,3516,599.385,0.792737685,08/03/14,08/14/2014,11,12,08/17/2014,14,13,08/21/2014,18,4,08/25/2014,22,9,08/29/2014,26,10,09/02/14,30,10,,,,,,,,09/05/14,0.044,0.044,0.044,0.044,0.045555556,0.001555556,58
C2 T3,1,2,U,U,3518,593.094,0.784417302,08/04/14,08/14/2014,10,21,08/18/2014,14,11,08/22/2014,18,3,08/25/2014,21,9,08/29/2014,25,8,09/02/14,29,9,,,,,,,,09/06/14,0.049,0.048,0.047,0.048,0.047222222,-0.000777778,61
C2 T3,22,2,U,U,3520,645.058,0.853144116,08/04/14,08/14/2014,10,21,08/19/2014,15,3,08/22/2014,18,3,08/26/2014,22,6,08/30/2014,26,8,09/03/14,30,7,,,,,,,,09/06/14,0.045,0.048,0.046,0.046333333,0.047222222,0.000888889,48
C2 T3,17,2,U,U,3522,626.789,0.828981808,08/04/14,08/14/2014,10,22,08/18/2014,14,12,08/21/2014,17,2,08/25/2014,21,9,08/29/2014,25,9,09/02/14,29,8,,,,,,,,09/06/14,0.046,0.045,0.045,0.045333333,0.047222222,0.001888889,62
C2 T3,20,2,U,U,3524,628.854,0.831712946,08/04/14,08/14/2014,10,16,08/18/2014,14,8,08/22/2014,18,1,08/26/2014,22,7,08/30/2014,26,5,09/03/14,30,7,,,,,,,,09/06/14,0.048,0.045,0.046,0.046333333,0.047222222,0.000888889,44
C2 T3,2,2,U,U,3528,649.075,0.85845694,08/04/14,08/14/2014,10,20,08/19/2014,15,5,08/26/2014,22,5,08/30/2014,26,8,09/03/14,30,8,,,,,,,,,,,09/06/14,0.045,0.046,0.044,0.045,0.047222222,0.002222222,46
C2 T3,14,2,U,U,3529,624.023,0.825323537,08/04/14,08/14/2014,10,21,08/18/2014,14,8,08/22/2014,18,3,08/26/2014,22,6,08/30/2014,26,9,09/03/14,30,5,,,,,,,,09/06/14,0.046,0.046,0.045,0.045666667,0.047222222,0.001555556,52
C3 T1,11,3,U,U,3582,681.73,0.901645957,08/07/14,08/18/2014,11,14,08/22/2014,15,5,08/25/2014,18,8,08/30/2014,23,11,09/03/14,27,8,09/07/14,31,9,,,,,,,,09/09/14,0.048,0.048,0.047,0.047666667,0.047833333,0.000166667,55
C3 T1,13,3,U,U,3588,659.449,0.872177438,08/07/14,08/16/2014,9,5,08/20/2014,13,11,08/24/2014,17,10,08/28/2014,21,9,09/01/14,25,5,09/04/14,28,9,09/09/14,33,9,,,,,09/09/14,0.046,0.046,0.046,0.046,0.047833333,0.001833333,58
C3 T1,21,3,U,U,3590,694.176,0.918106852,08/07/14,08/16/2014,9,4,08/20/2014,13,13,08/24/2014,17,11,08/28/2014,21,8,09/01/14,25,6,09/06/14,30,9,09/09/14,33,8,,,,,09/09/14,0.045,0.045,0.047,0.045666667,0.047833333,0.002166667,59
C3 T1,16,3,U,U,3592,688.285,0.910315503,08/07/14,08/18/2014,11,13,08/22/2014,15,5,08/25/2014,18,6,08/30/2014,23,9,09/03/14,27,7,09/07/14,31,8,,,,,,,,09/09/14,0.046,0.045,0.047,0.046,0.047833333,0.001833333,48
C3 T1,12,3,U,U,3594,662.022,0.87558045,08/07/14,08/18/2014,11,11,08/22/2014,15,3,08/25/2014,18,4,08/30/2014,23,9,09/03/14,27,7,09/07/14,31,8,,,,,,,,09/09/14,0.046,0.046,0.046,0.046,0.047833333,0.001833333,42
C3 T1,19,3,U,U,3596,683.444,0.903912868,08/07/14,08/17/2014,10,5,08/20/2014,13,14,08/24/2014,17,11,08/28/2014,21,6,09/01/14,25,8,09/05/14,29,10,09/09/14,33,8,,,,,09/09/14,0.046,0.047,0.045,0.046,0.047833333,0.001833333,62
C3 T1,15,3,U,U,3598,661.196,0.874487994,08/07/14,08/18/2014,11,9,08/23/2014,16,12,08/29/2014,22,7,09/03/14,27,7,09/07/14,31,7,,,,,,,,,,,09/09/14,0.045,0.046,0.046,0.045666667,0.047833333,0.002166667,42
C3 T2,3,3,U,U,3600,666.008,0.880852274,08/07/14,08/18/2014,11,12,08/21/2014,14,4,08/25/2014,18,9,08/28/2014,21,9,09/02/14,26,9,09/06/14,30,8,,,,,,,,09/09/14,0.047,0.049,0.048,0.048,0.047611111,-0.000388889,51
C3 T2,24,3,U,U,3602,721.097,0.953712166,08/07/14,08/18/2014,11,11,08/25/2014,18,10,08/29/2014,22,8,,,,09/02/14,26,8,,,,,,,,,,,09/09/14,0.046,0.047,0.046,0.046333333,0.047611111,0.001277778,37
C3 T2,6,3,U,U,3604,680.256,0.899696467,08/07/14,08/18/2014,11,10,08/20/2014,13,4,08/25/2014,18,7,08/30/2014,23,12,09/03/14,27,8,09/07/14,31,5,,,,,,,,09/09/14,0.049,0.045,0.047,0.047,0.047611111,0.000611111,46
C3 T2,18,3,U,U,3606,694.544,0.918593563,08/07/14,08/17/2014,10,4,08/20/2014,13,12,08/24/2014,17,9,08/28/2014,21,8,09/01/14,25,10,09/05/14,29,8,09/09/14,33,6,,,,,09/09/14,0.045,0.047,0.048,0.046666667,0.047611111,0.000944444,57
C3 T2,7,3,U,U,3610,680.378,0.899857822,08/07/14,08/18/2014,11,9,08/20/2014,13,4,08/27/2014,20,4,08/30/2014,23,8,09/03/14,27,7,09/07/14,31,7,,,,,,,,09/09/14,0.045,0.049,0.046,0.046666667,0.047611111,0.000944444,39
C3 T2,10,3,U,U,3612,688.997,0.911257183,08/07/14,08/18/2014,11,10,08/20/2014,13,3,08/25/2014,18,5,08/30/2014,23,11,09/03/14,27,8,09/07/14,31,7,,,,,,,,09/09/14,0.045,0.044,0.05,0.046333333,0.047611111,0.001277778,44
C3 T2,8,3,U,U,3614,675.686,0.893652253,08/07/14,08/18/2014,11,12,08/20/2014,13,4,08/25/2014,18,7,08/30/2014,23,8,09/03/14,27,9,09/07/14,31,5,,,,,,,,09/09/14,0.046,0.047,0.047,0.046666667,0.047611111,0.000944444,45
C3 T3,14,3,U,U,3616,698.985,0.924467164,08/08/14,08/19/2014,11,14,08/23/2014,15,5,08/27/2014,19,10,08/30/2014,22,8,09/03/14,26,7,09/07/14,30,6,,,,,,,,09/10/14,0.045,0.045,0.044,0.044666667,0.045055556,0.000388889,50
C3 T3,22,3,U,U,3618,698.331,0.923602193,08/08/14,08/18/2014,10,18,08/22/2014,14,6,08/27/2014,19,6,08/31/2014,23,11,09/04/14,27,8,09/08/14,31,8,,,,,,,,09/10/14,0.042,0.044,0.045,0.043666667,0.045055556,0.001388889,57
C3 T3,1,3,U,U,3620,667.915,0.883374444,08/08/14,08/18/2014,10,10,08/22/2014,14,6,08/26/2014,18,7,08/29/2014,21,6,09/03/14,26,9,09/07/14,30,6,,,,,,,,09/10/14,0.043,0.042,0.044,0.043,0.045055556,0.002055556,44
C3 T3,2,3,U,U,3622,698.809,0.924234389,08/08/14,08/20/2014,12,14,08/23/2014,15,6,08/27/2014,19,6,08/31/2014,23,8,09/04/14,27,8,09/08/14,31,7,,,,,,,,09/10/14,0.044,0.043,0.043,0.043333333,0.045055556,0.001722222,49
C3 T3,20,3,U,U,3624,703.355,0.930246861,08/08/14,08/19/2014,11,17,08/23/2014,15,5,08/27/2014,19,7,08/31/2014,23,6,09/04/14,27,7,09/08/14,31,8,,,,,,,,09/10/14,0.042,0.043,0.043,0.042666667,0.045055556,0.002388889,50
C3 T3,17,3,U,U,3626,703.427,0.930342087,08/08/14,08/19/2014,11,17,08/23/2014,15,5,08/28/2014,20,5,08/31/2014,23,7,09/04/14,27,6,09/07/14,30,7,,,,,,,,09/10/14,0.042,0.044,0.042,0.042666667,0.045055556,0.002388889,47
C5 T1,18,5,U,U,3976,717.551,0.949022279,08/15/2014,08/24/2014,9,13,08/28/2014,13,7,09/01/14,17,9,09/05/14,21,9,09/09/14,25,7,09/13/2014,29,8,09/17/2014,33,6,,,,,09/17/2014,0.047,0.047,0.046,0.046666667,0.048666667,0.002,59
C5 T1,21,5,U,U,3978,714.14,0.944510941,08/15/2014,08/26/2014,11,6,08/28/2014,13,11,09/01/14,17,6,09/05/14,21,5,09/10/14,26,5,09/15/2014,31,3,09/18/2014,34,4,,,,,09/17/2014,0.051,0.051,0.048,0.05,0.048666667,-0.001333333,40
C5 T1,15,5,U,U,3980,723.032,0.956271368,08/15/2014,08/24/2014,9,14,08/28/2014,13,2,09/01/14,17,8,09/05/14,21,8,09/09/14,25,6,09/14/2014,30,4,09/17/2014,33,7,,,,,09/17/2014,0.046,0.044,0.046,0.045333333,0.048666667,0.003333333,49
C5 T1,12,5,U,U,3982,709.635,0.938552695,08/15/2014,08/25/2014,10,13,08/28/2014,13,3,09/01/14,17,9,09/05/14,21,6,09/09/14,25,7,09/13/2014,29,4,09/17/2014,33,7,,,,,09/17/2014,0.053,0.046,0.048,0.049,0.048666667,-0.000333333,49
C5 T1,19,5,U,U,3984,689.046,0.91132199,08/15/2014,08/28/2014,13,3,08/31/2014,16,9,09/04/14,20,4,09/08/14,24,6,09/12/14,28,7,09/16/2014,32,6,,,,,,,,09/17/2014,0.044,0.047,0.045,0.045333333,0.048666667,0.003333333,35
C5 T1,24,5,U,U,3986,728.215,0.963126327,08/15/2014,08/25/2014,10,9,08/28/2014,13,8,09/01/14,17,7,09/06/14,22,7,09/10/14,26,5,09/14/2014,30,6,,,,,,,,09/17/2014,0.047,0.049,0.045,0.047,0.048666667,0.001666667,42
C5 T1,16,5,U,U,3988,745.3,0.985722694,08/15/2014,08/24/2014,9,16,09/01/14,17,6,09/06/14,22,7,09/10/14,26,5,09/15/2014,31,6,,,,,,,,,,,09/17/2014,0.045,0.045,0.045,0.045,0.048666667,0.003666667,40
C5 T1,23,5,U,U,3990,749.442,0.991200841,08/15/2014,08/26/2014,11,10,08/28/2014,13,6,09/02/14,18,4,09/06/14,22,7,09/10/14,26,6,09/16/2014,32,10,,,,,,,,09/17/2014,0.045,0.046,0.044,0.045,0.048666667,0.003666667,43
C5 T1,11,5,U,U,3992,681.521,0.901369537,08/15/2014,08/24/2014,9,8,08/28/2014,13,8,09/01/14,17,6,09/05/14,21,7,09/09/14,25,6,09/13/2014,29,5,09/17/2014,33,6,,,,,09/17/2014,0.046,0.046,0.047,0.046333333,0.048666667,0.002333333,46
C5 T2,3,5,U,U,3995,707.652,0.935930009,08/15/2014,08/24/2014,9,9,08/28/2014,13,12,09/01/14,17,7,09/05/14,21,9,09/09/14,25,8,09/13/2014,29,6,09/17/2014,33,8,,,,,09/17/2014,0.048,0.047,0.046,0.047,0.048055556,0.001055556,59
C5 T2,7,5,U,U,3997,684.544,0.905367712,08/15/2014,08/26/2014,11,13,08/29/2014,14,1,08/31/2014,16,5,09/03/14,19,7,09/07/14,23,7,09/12/14,28,6,09/15/2014,31,9,,,,,09/17/2014,0.046,0.045,0.046,0.045666667,0.048055556,0.002388889,48
C5 T2,4,5,U,U,4003,723.523,0.956920757,08/15/2014,08/25/2014,10,8,09/01/14,17,8,09/05/14,21,7,09/09/14,25,6,09/13/2014,29,4,09/17/2014,33,9,,,,,,,,09/17/2014,0.045,0.046,0.045,0.045333333,0.048055556,0.002722222,42
C5 T2,6,5,U,U,4005,701.547,0.927855627,08/15/2014,08/25/2014,10,6,08/28/2014,13,14,09/01/14,17,8,09/05/14,21,7,09/09/14,25,9,09/13/2014,29,7,09/17/2014,33,8,,,,,09/17/2014,0.044,0.047,0.045,0.045333333,0.048055556,0.002722222,59
C5 T2,9,5,U,U,4007,699.578,0.925251457,08/15/2014,08/27/2014,12,19,08/31/2014,16,6,09/04/14,20,5,09/08/14,24,3,09/12/14,28,7,09/16/2014,32,8,,,,,,,,09/17/2014,0.044,0.045,0.045,0.044666667,0.048055556,0.003388889,48
C5 T3,20,5,U,U,4072,742.427,0.981922907,08/16/2014,08/25/2014,9,16,08/29/2014,13,9,09/02/14,17,7,09/06/14,21,10,09/10/14,25,8,09/14/2014,29,8,09/18/2014,33,7,,,,,09/18/2014,0.047,0.046,0.046,0.046333333,0.047722222,0.001388889,65
C5 T3,22,5,U,U,4074,718.47,0.950237735,08/16/2014,08/25/2014,9,17,08/28/2014,12,7,09/01/14,16,6,09/05/14,20,9,09/09/14,24,10,09/13/2014,28,9,09/17/2014,32,9,,,,,09/18/2014,0.049,0.046,0.046,0.047,0.047722222,0.000722222,67
C5 T3,2,5,U,U,4076,646.502,0.855053928,08/16/2014,08/27/2014,11,13,08/31/2014,15,8,09/04/14,19,6,09/08/14,23,9,09/12/14,27,11,09/16/2014,31,8,,,,,,,,09/18/2014,0.044,0.047,0.044,0.045,0.047722222,0.002722222,55
C5 T3,1,5,U,U,4079,724.639,0.958396762,08/16/2014,08/27/2014,11,13,09/01/14,16,6,09/04/14,19,4,09/09/14,24,8,09/13/2014,28,8,09/17/2014,32,10,,,,,,,,09/18/2014,0.046,0.047,0.045,0.046,0.047722222,0.001722222,49
C5 T3,17,5,U,U,4080,746.668,0.98753199,08/16/2014,08/25/2014,9,13,08/29/2014,13,8,09/02/14,17,9,09/06/14,21,7,09/10/14,25,8,09/15/2014,30,7,09/18/2014,33,10,,,,,09/18/2014,0.05,0.044,0.046,0.046666667,0.047722222,0.001055556,62
C5 T3,14,5,U,U,4082,712.585,0.942454321,08/16/2014,08/27/2014,11,12,09/01/14,16,4,09/05/14,20,6,09/09/14,24,6,09/12/14,27,9,09/16/2014,31,9,,,,,,,,09/18/2014,0.048,0.045,0.048,0.047,0.047722222,0.000722222,46
