Clutch,Rep,Tray,E?,Photo #,size,body.size,D.O.B,C1,days after birth,C1#,C2,days after birth  2,C2#,C3,days after birth  3,C3#,C4,days after birth  4,C4#,C5,days after birth  5,C5#,C6,days after birth  6,C6#,C7,days after birth  7,C7#,C8,days after birth  8,C8#,I?,Inf2,D.O.D,28 days post exposure,Absorbance at 650nm 1,Absorbance at 650nm 2,Absorbance at 650nm 3,Absorbance at 650nm mean,Control mean,Feeding rate,Total Off,MatCSize,Repro Effort
2,9,C2 T1,E,3487,624.962,0.826565445,08/03/14,08/13/2014,10,15,08/17/2014,14,10,08/21/2014,18,7,08/25/2014,22,7,08/29/2014,26,8,09/02/14,30,6,,,,,,,N,N,,09/05/14,0.046,0.046,0.047,0.046333333,0.046055556,-0.000277778,53,,
2,21,C2 T1,E,3491,594.433,0.786188244,08/03/14,08/14/2014,11,17,08/22/2014,19,6,08/26/2014,23,8,08/30/2014,27,9,09/03/14,31,4,09/05/14,33,2,,,,,,,N,N,,09/05/14,0.044,0.046,0.044,0.044666667,0.046055556,0.001388889,46,,
2,5,C2 T1,E,3493,607.591,0.803590819,08/03/14,08/14/2014,11,9,08/17/2014,14,8,08/21/2014,18,4,08/25/2014,22,7,08/29/2014,26,8,09/02/14,30,8,,,,,,,N,N,,09/05/14,0.051,0.045,0.045,0.047,0.046055556,-0.000944444,44,10,8.035908186
2,10,C2 T1,E,3495,607.762,0.803816981,08/03/14,08/13/2014,10,14,08/17/2014,14,2,08/21/2014,18,6,08/25/2014,22,8,08/29/2014,26,9,09/03/14,31,3,,,,,,,N,N,,09/05/14,0.047,0.044,0.049,0.046666667,0.046055556,-0.000611111,42,16,12.86107169
2,15,C2 T1,E,3499,616.089,0.814830147,08/03/14,08/13/2014,10,8,08/17/2014,14,12,08/21/2014,18,8,08/25/2014,22,7,08/29/2014,26,7,09/02/14,30,7,,,,,,,N,N,,09/05/14,0.043,0.044,0.043,0.043333333,0.046055556,0.002722222,49,14,11.40762206
2,6,C2 T1,E,3501,628.13,0.830755395,08/03/14,08/13/2014,10,18,08/17/2014,14,7,08/21/2014,18,5,08/25/2014,22,8,08/29/2014,26,9,09/03/14,31,7,,,,,,,N,N,,09/05/14,0.043,0.046,0.044,0.044333333,0.046055556,0.001722222,54,11,9.138309339
2,18,C2 T2,E,3503,631.569,0.835303765,08/03/14,08/13/2014,10,20,08/17/2014,14,7,,,,,,,,,,,,,,,,,,,N,N,,09/05/14,0.045,0.046,0.045,0.045333333,0.045555556,0.000222222,27,18,15.03546777
2,12,C2 T2,E,3505,613.316,0.811162619,08/03/14,08/13/2014,10,16,08/17/2014,14,12,08/21/2014,18,6,08/25/2014,22,3,08/29/2014,26,9,09/02/14,30,6,,,,,,,N,N,,09/05/14,0.045,0.047,0.046,0.046,0.045555556,-0.000444444,52,16,12.9786019
2,16,C2 T2,E,3507,635.72,0.840793816,08/03/14,08/14/2014,11,13,,,,,,,,,,,,,,,,,,,,,,N,N,,09/05/14,0.045,0.045,0.045,0.045,0.045555556,0.000555556,13,15,12.61190723
2,11,C2 T2,E,3513,629.775,0.832931047,08/03/14,08/14/2014,11,14,08/17/2014,14,16,08/21/2014,18,4,08/25/2014,22,10,08/29/2014,26,8,09/02/14,30,7,,,,,,,N,N,,09/05/14,0.044,0.045,0.044,0.044333333,0.045555556,0.001222222,59,15,12.49396571
2,22,C2 T3,E,3519,652.125,0.862490825,08/04/14,08/14/2014,10,25,08/18/2014,14,7,08/22/2014,18,3,08/26/2014,22,8,08/30/2014,26,8,09/03/14,30,8,,,,,,,N,N,,09/06/14,0.05,0.047,0.047,0.048,0.047222222,-0.000777778,59,10,8.624908246
2,17,C2 T3,E,3521,660.716,0.873853153,08/04/14,08/14/2014,10,20,08/18/2014,14,10,08/22/2014,18,1,08/26/2014,22,6,08/30/2014,26,6,09/03/14,30,6,,,,,,,N,N,,09/06/14,0.048,0.046,0.045,0.046333333,0.047222222,0.000888889,49,17,14.85550361
2,20,C2 T3,E,3523,624.023,0.825323537,08/04/14,08/14/2014,10,22,08/18/2014,14,9,08/22/2014,18,1,08/26/2014,22,6,08/30/2014,26,9,09/04/14,31,8,,,,,,,N,N,,09/06/14,0.045,0.047,0.046,0.046,0.047222222,0.001222222,55,19,15.68114721
2,13,C2 T3,E,3525,615.168,0.813612046,08/04/14,08/14/2014,10,24,08/18/2014,14,7,08/22/2014,18,3,08/26/2014,22,6,08/30/2014,26,7,09/03/14,30,8,,,,,,,N,N,,09/06/14,0.045,0.045,0.045,0.045,0.047222222,0.002222222,55,14,11.39056865
2,14,C2 T3,E,3530,622.707,0.823583015,08/04/14,08/14/2014,10,16,08/18/2014,14,10,08/22/2014,18,3,08/26/2014,22,7,08/30/2014,26,7,09/03/14,30,7,,,,,,,N,N,,09/06/14,0.045,0.045,0.045,0.045,0.047222222,0.002222222,50,12,9.882996184
3,9,C3 T1,E,3585,684.234,0.90495771,08/07/14,08/18/2014,11,9,08/22/2014,15,5,08/25/2014,18,7,08/30/2014,23,10,09/04/14,28,7,09/07/14,31,7,,,,,,,N,N,,09/09/14,0.047,0.046,0.047,0.046666667,0.047833333,0.001166667,45,11,9.954534814
3,13,C3 T1,E,3587,678.07,0.896805296,08/07/14,08/18/2014,11,3,08/20/2014,13,13,08/24/2014,17,5,08/28/2014,21,6,09/01/14,25,10,09/05/14,29,10,09/09/14,33,8,,,,N,N,,09/09/14,0.045,0.047,0.046,0.046,0.047833333,0.001833333,55,13,11.65846884
3,24,C3 T2,E,3601,696.631,0.921353798,08/07/14,08/18/2014,11,8,08/22/2014,15,6,08/25/2014,18,9,08/28/2014,21,9,09/03/14,27,7,09/06/14,30,10,,,,,,,N,N,,09/09/14,0.048,0.047,0.048,0.047666667,0.047611111,-0.000055556,49,8,7.370830385
3,18,C3 T2,E,3605,700.457,0.926414009,08/07/14,08/16/2014,9,4,08/20/2014,13,13,08/24/2014,17,8,08/28/2014,21,8,09/01/14,25,8,09/05/14,29,7,09/09/14,33,7,,,,N,N,,09/09/14,0.045,0.046,0.046,0.045666667,0.047611111,0.001944444,55,10,9.264140088
3,14,C3 T3,E,3615,650.415,0.860229204,08/08/14,08/18/2014,10,14,08/22/2014,14,7,08/26/2014,18,7,08/30/2014,22,9,09/03/14,26,9,09/07/14,30,4,,,,,,,N,N,,09/10/14,0.045,0.045,0.048,0.046,0.045055556,-0.000944444,50,8,6.881833632
3,22,C3 T3,E,3617,696.368,0.921005958,08/08/14,08/18/2014,10,13,08/22/2014,14,8,08/27/2014,19,3,08/29/2014,21,7,09/02/14,25,6,09/06/14,29,14,09/10/14,33,5,,,,N,N,,09/10/14,0.044,0.044,0.045,0.044333333,0.045055556,0.000722222,56,10,9.210059583
3,1,C3 T3,E,3619,687.91,0.909819533,08/08/14,08/18/2014,10,11,08/22/2014,14,6,08/26/2014,18,6,08/30/2014,22,10,09/03/14,26,8,09/08/14,31,6,,,,,,,N,N,,09/10/14,0.044,0.045,0.045,0.044666667,0.045055556,0.000388889,47,6,5.4589172
3,2,C3 T3,E,3621,719.389,0.95145319,08/08/14,08/19/2014,11,13,08/23/2014,15,5,08/27/2014,19,8,08/31/2014,23,10,09/04/14,27,7,09/08/14,31,9,,,,,,,N,N,,09/10/14,0.042,0.045,0.043,0.043333333,0.045055556,0.001722222,52,8,7.611625523
3,20,C3 T3,E,3623,663.529,0.877573585,08/08/14,08/18/2014,10,16,08/26/2014,18,7,08/30/2014,22,8,09/03/14,26,5,,,,,,,,,,,,,N,N,,09/10/14,0.042,0.042,0.045,0.043,0.045055556,0.002055556,36,9,7.898162268
3,17,C3 T3,E,3625,693.951,0.91780927,08/08/14,08/18/2014,10,11,08/23/2014,15,3,08/27/2014,19,7,08/31/2014,23,6,09/04/14,27,7,09/08/14,31,10,,,,,,,N,N,,09/10/14,0.045,0.042,0.043,0.043333333,0.045055556,0.001722222,44,8,7.34247416
5,18,C5 T1,E,3975,728.011,0.962856519,08/15/2014,08/24/2014,9,9,08/28/2014,13,10,09/01/14,17,9,09/05/14,21,8,09/09/14,25,6,09/13/2014,29,8,09/17/2014,33,6,,,,N,N,,09/17/2014,0.05,0.046,0.049,0.048333333,0.048666667,0.000333333,56,5,4.814282597
5,21,C5 T1,E,3977,745.085,0.985438338,08/15/2014,08/24/2014,9,9,08/28/2014,13,9,09/01/14,17,9,09/04/14,20,9,09/08/14,24,8,09/12/14,28,8,09/16/2014,32,7,,,,N,N,,09/17/2014,0.047,0.047,0.047,0.047,0.048666667,0.001666667,59,3,2.956315013
5,15,C5 T1,E,3979,727.096,0.961646354,08/15/2014,08/24/2014,9,13,08/28/2014,13,7,09/01/14,17,8,09/04/14,20,9,09/08/14,24,7,09/12/14,28,8,09/17/2014,33,6,,,,N,N,,09/17/2014,0.046,0.045,0.043,0.044666667,0.048666667,0.004,58,2,1.923292708
5,12,C5 T1,E,3981,724.531,0.958253923,08/15/2014,08/26/2014,11,11,08/28/2014,13,8,09/01/14,17,6,09/05/14,21,6,09/09/14,25,7,09/13/2014,29,5,,,,,,,N,N,,09/17/2014,0.045,0.045,0.045,0.045,0.048666667,0.003666667,43,3,2.874761769
5,24,C5 T1,E,3985,724.715,0.958497279,08/15/2014,08/29/2014,14,10,09/02/14,18,6,09/06/14,22,5,09/10/14,26,4,09/15/2014,31,6,,,,,,,,,,N,N,,09/17/2014,0.046,0.046,0.05,0.047333333,0.048666667,0.001333333,31,3,2.875491836
5,16,C5 T1,E,3987,732.817,0.969212864,08/15/2014,08/24/2014,9,8,09/01/14,17,8,09/04/14,20,8,09/09/14,25,7,09/13/2014,29,7,09/17/2014,33,8,,,,,,,N,N,,09/17/2014,0.044,0.045,0.045,0.044666667,0.048666667,0.004,46,3,2.90763859
5,23,C5 T1,E,3989,757.101,1.001330521,08/15/2014,08/25/2014,10,12,08/28/2014,13,6,09/01/14,17,7,09/05/14,21,6,09/09/14,25,8,09/13/2014,29,6,09/17/2014,33,6,,,,N,N,,09/17/2014,0.045,0.046,0.046,0.045666667,0.048666667,0.003,51,4,4.005322083
5,11,C5 T1,E,3991,678.714,0.897657041,08/15/2014,08/27/2014,12,9,08/31/2014,16,7,09/03/14,19,8,09/07/14,23,6,09/11/14,27,11,09/15/2014,31,8,,,,,,,N,N,,09/17/2014,0.046,0.046,0.045,0.045666667,0.048666667,0.003,49,1,0.897657041
5,8,C5 T2,E,3993,711.008,0.940368605,08/15/2014,08/25/2014,10,4,08/28/2014,13,15,09/01/14,17,7,09/05/14,21,6,09/09/14,25,8,09/13/2014,29,7,09/17/2014,33,9,,,,N,N,,09/17/2014,0.047,0.048,0.047,0.047333333,0.048055556,0.000722222,56,2,1.880737209
5,3,C5 T2,E,3994,733.082,0.969563349,08/15/2014,08/25/2014,10,11,08/28/2014,13,12,09/01/14,17,7,09/05/14,21,9,09/09/14,25,6,09/13/2014,29,6,09/17/2014,33,15,,,,N,N,,09/17/2014,0.048,0.048,0.047,0.047666667,0.048055556,0.000388889,66,4,3.878253394
5,13,C5 T2,E,3998,693.776,0.917577818,08/15/2014,08/24/2014,9,11,08/28/2014,13,13,08/31/2014,16,8,09/04/14,20,7,09/08/14,24,8,09/12/14,28,9,09/16/2014,32,10,,,,N,N,,09/17/2014,0.045,0.044,0.046,0.045,0.048055556,0.003055556,66,4,3.67031127
5,4,C5 T2,E,4002,722.318,0.955327042,08/15/2014,08/25/2014,10,7,08/28/2014,13,10,09/01/14,17,7,09/05/14,21,6,09/09/14,25,7,09/13/2014,29,7,09/17/2014,33,10,,,,N,N,,09/17/2014,0.047,0.045,0.048,0.046666667,0.048055556,0.001388889,54,3,2.865981127
5,9,C5 T2,E,4006,716.63,0.947804178,08/15/2014,08/27/2014,12,16,08/31/2014,16,10,09/04/14,20,7,09/07/14,23,9,09/12/14,28,9,09/16/2014,32,9,,,,,,,N,N,,09/17/2014,0.046,0.048,0.045,0.046333333,0.048055556,0.001722222,60,4,3.791216712
5,22,C5 T3,E,4075,731.456,0.967412825,08/16/2014,08/25/2014,9,12,08/28/2014,12,15,09/01/14,16,6,09/05/14,20,9,09/09/14,24,6,09/13/2014,28,8,09/17/2014,32,10,,,,N,N,,09/18/2014,0.043,0.05,0.044,0.045666667,0.047722222,0.002055556,66,5,4.837064126
5,17,C5 T3,E,4081,724.054,0.95762305,08/16/2014,08/25/2014,9,13,08/29/2014,13,5,09/02/14,17,9,09/06/14,21,7,09/10/14,25,6,09/14/2014,29,8,09/18/2014,33,13,,,,N,N,,09/18/2014,0.044,0.047,0.045,0.045333333,0.047722222,0.002388889,61,3,2.87286915
5,14,C5 T3,E,4083,713.8,0.944061262,08/16/2014,08/27/2014,11,7,08/31/2014,15,5,09/04/14,19,9,09/08/14,23,10,09/12/14,27,11,09/16/2014,31,8,,,,,,,N,N,,09/18/2014,0.047,0.047,0.045,0.046333333,0.047722222,0.001388889,50,4,3.776245049
1,1,C1 T1,U,3395,419.481,0.685386154,07/31/2014,08/10/14,10,16,08/13/2014,13,12,08/17/2014,17,9,08/21/2014,21,12,08/25/2014,25,11,08/28/2014,28,5,09/02/14,33,4,,,,U,N,,09/02/14,0.049,0.049,0.048,0.048666667,0.048722222,5.55556E-05,69,11,7.539247691
1,2,C1 T1,U,3397,441.806,0.721862766,07/31/2014,08/10/14,10,15,08/14/2014,14,14,08/18/2014,18,10,08/23/2014,23,8,08/26/2014,26,6,08/30/2014,30,10,,,,,,,U,N,,09/02/14,0.047,0.047,0.046,0.046666667,0.048722222,0.002055556,63,5,3.609313831
1,4,C1 T1,U,3401,449.89,0.73507114,07/31/2014,08/10/14,10,14,08/13/2014,13,20,08/17/2014,17,10,08/21/2014,21,8,08/25/2014,25,8,08/29/2014,29,6,09/02/14,33,4,,,,U,N,,09/02/14,0.047,0.046,0.046,0.046333333,0.048722222,0.002388889,70,8,5.880569117
1,5,C1 T1,U,3403,434.31,0.709615121,07/31/2014,08/10/14,10,10,08/13/2014,13,14,08/17/2014,17,11,08/21/2014,21,10,08/25/2014,25,10,08/29/2014,29,8,09/02/14,33,6,,,,U,N,,09/02/14,0.046,0.049,0.046,0.047,0.048722222,0.001722222,69,12,8.515381448
1,6,C1 T1,U,3405,454.17,0.742064192,07/31/2014,08/10/14,10,15,08/13/2014,13,17,08/17/2014,17,9,08/21/2014,21,9,08/25/2014,25,9,08/29/2014,29,6,09/02/14,33,5,,,,U,N,,09/02/14,0.046,0.047,0.046,0.046333333,0.048722222,0.002388889,70,8,5.936513538
1,7,C1 T1,U,3407,417.382,0.681956617,07/31/2014,08/10/14,10,10,08/13/2014,13,14,08/17/2014,17,5,08/21/2014,21,9,08/25/2014,25,8,08/29/2014,29,5,,,,,,,U,N,,09/02/14,0.047,0.046,0.045,0.046,0.048722222,0.002722222,51,10,6.819566169
1,8,C1 T1,U,3409,424.02,0.692802384,07/31/2014,08/10/14,10,17,08/13/2014,13,27,08/17/2014,17,13,08/21/2014,21,8,08/25/2014,25,9,08/29/2014,29,6,09/02/14,33,6,,,,U,N,,09/02/14,0.047,0.048,0.047,0.047333333,0.048722222,0.001388889,86,10,6.928023842
1,10,C1 T2,U,3413,425.43,0.69510617,07/31/2014,08/10/14,10,12,08/13/2014,13,14,08/17/2014,17,12,08/20/2014,20,10,08/25/2014,25,7,08/29/2014,29,5,09/02/14,33,6,,,,U,N,,09/02/14,0.047,0.047,0.046,0.046666667,0.047944444,0.001277778,66,12,8.341274043
1,11,C1 T2,U,3415,441.14,0.720774595,07/31/2014,08/10/14,10,14,08/13/2014,13,13,08/17/2014,17,6,08/20/2014,20,9,08/25/2014,25,9,08/29/2014,29,3,09/02/14,33,6,,,,U,N,,09/02/14,0.045,0.048,0.046,0.046333333,0.047944444,0.001611111,60,9,6.486971355
1,13,C1 T2,U,3417,448.623,0.733001,07/31/2014,08/10/14,10,15,08/14/2014,14,10,08/18/2014,18,9,08/21/2014,21,13,08/25/2014,25,10,08/29/2014,29,8,,,,,,,U,N,,09/02/14,0.044,0.046,0.047,0.045666667,0.047944444,0.002277778,65,8,5.864008
1,14,C1 T2,U,3419,451.766,0.738136319,07/31/2014,08/14/2014,14,8,08/18/2014,18,7,08/26/2014,26,6,08/30/2014,30,8,,,,,,,,,,,,,U,N,,09/02/14,0.047,0.046,0.05,0.047666667,0.047944444,0.000277778,29,9,6.643226869
1,15,C1 T2,U,3421,418.796,0.684266939,07/31/2014,08/10/14,10,11,08/13/2014,13,17,08/17/2014,17,7,08/21/2014,21,7,08/25/2014,25,11,08/29/2014,29,7,09/02/14,33,6,,,,U,N,,09/02/14,0.047,0.046,0.047,0.046666667,0.047944444,0.001277778,66,6,4.105601631
1,16,C1 T2,U,3423,452.747,0.739739166,07/31/2014,08/10/14,10,15,08/14/2014,14,15,08/18/2014,18,9,08/22/2014,22,9,08/26/2014,26,5,08/30/2014,30,6,,,,,,,U,N,,09/02/14,0.045,0.046,0.046,0.045666667,0.047944444,0.002277778,59,8,5.917913325
1,17,C1 T2,U,3425,449.286,0.73408427,07/31/2014,08/10/14,10,14,08/14/2014,14,12,08/18/2014,18,8,08/23/2014,23,7,08/26/2014,26,6,08/30/2014,30,7,,,,,,,U,N,,09/02/14,0.046,0.045,0.046,0.045666667,0.047944444,0.002277778,54,8,5.872674156
1,18,C1 T2,U,3427,468.213,0.765008921,07/31/2014,08/10/14,10,8,08/13/2014,13,15,08/17/2014,17,8,08/21/2014,21,9,08/25/2014,25,9,08/29/2014,29,7,09/02/14,33,4,,,,U,N,,09/02/14,0.045,0.047,0.046,0.046,0.047944444,0.001944444,60,11,8.415098132
