Tray,Rep,Clutch,E,I,Photo #,size,actual size,D.O.B,C1,days after birth,C1#,C2,days after birth  2,C2#,C3,days after birth  3,C3#,C4,days after birth  4,C4#,C5,days after birth  5,C5#,C6,days after birth  6,C6#,C7,days after birth  7,C7#,C8,days after birth  8,C8#,D.O.D,28 days post exposure,Absorbance at 650nm 1,Absorbance at 650nm 2,Absorbance at 650nm 3,Absorbance at 650nm mean,Control mean,Feeding rate,Total Off,Pred I?,Lin[I],Prob[I],Prob[N],Most Likely I?,experiment
C5 T1,12,5,E,N,3981,724.531,0.958253923,08/15/2014,08/26/2014,11,11,08/28/2014,13,8,09/01/14,17,6,09/05/14,21,6,09/09/14,25,7,09/13/2014,29,5,,,,,,,,09/17/2014,0.045,0.045,0.045,0.045,0.048666667,0.003666667,43,0.202777973,-1.16315081,0.238095238,0.761904762,N,1
C5 T1,24,5,E,N,3985,724.715,0.958497279,08/15/2014,08/29/2014,14,10,09/02/14,18,6,09/06/14,22,5,09/10/14,26,4,09/15/2014,31,6,,,,,,,,,,,09/17/2014,0.046,0.046,0.05,0.047333333,0.048666667,0.001333333,31,0.202334197,-1.16315081,0.238095238,0.761904762,N,1
C5 T1,16,5,E,N,3987,732.817,0.969212864,08/15/2014,08/24/2014,9,8,09/01/14,17,8,09/04/14,20,8,09/09/14,25,7,09/13/2014,29,7,09/17/2014,33,8,,,,,,,,09/17/2014,0.044,0.045,0.045,0.044666667,0.048666667,0.004,46,0.183510316,-1.16315081,0.238095238,0.761904762,N,1
C5 T1,23,5,E,N,3989,757.101,1.001330521,08/15/2014,08/25/2014,10,12,08/28/2014,13,6,09/01/14,17,7,09/05/14,21,6,09/09/14,25,8,09/13/2014,29,6,09/17/2014,33,6,,,,,09/17/2014,0.045,0.046,0.046,0.045666667,0.048666667,0.003,51,0.135247344,-1.16315081,0.238095238,0.761904762,N,1
C5 T1,11,5,E,N,3991,678.714,0.897657041,08/15/2014,08/27/2014,12,9,08/31/2014,16,7,09/03/14,19,8,09/07/14,23,6,09/11/14,27,11,09/15/2014,31,8,,,,,,,,09/17/2014,0.046,0.046,0.045,0.045666667,0.048666667,0.003,49,0.335166716,-1.16315081,0.238095238,0.761904762,N,1
C5 T2,8,5,E,N,3993,711.008,0.940368605,08/15/2014,08/25/2014,10,4,08/28/2014,13,15,09/01/14,17,7,09/05/14,21,6,09/09/14,25,8,09/13/2014,29,7,09/17/2014,33,9,,,,,09/17/2014,0.047,0.048,0.047,0.047333333,0.048055556,0.000722222,56,0.237378878,-1.16315081,0.238095238,0.761904762,N,1
C5 T2,3,5,E,N,3994,733.082,0.969563349,08/15/2014,08/25/2014,10,11,08/28/2014,13,12,09/01/14,17,7,09/05/14,21,9,09/09/14,25,6,09/13/2014,29,6,09/17/2014,33,15,,,,,09/17/2014,0.048,0.048,0.047,0.047666667,0.048055556,0.000388889,66,0.18291819,-1.16315081,0.238095238,0.761904762,N,1
C5 T2,13,5,E,N,3998,693.776,0.917577818,08/15/2014,08/24/2014,9,11,08/28/2014,13,13,08/31/2014,16,8,09/04/14,20,7,09/08/14,24,8,09/12/14,28,9,09/16/2014,32,10,,,,,09/17/2014,0.045,0.044,0.046,0.045,0.048055556,0.003055556,66,0.287039652,-1.16315081,0.238095238,0.761904762,N,1
C5 T2,4,5,E,N,4002,722.318,0.955327042,08/15/2014,08/25/2014,10,7,08/28/2014,13,10,09/01/14,17,7,09/05/14,21,6,09/09/14,25,7,09/13/2014,29,7,09/17/2014,33,10,,,,,09/17/2014,0.047,0.045,0.048,0.046666667,0.048055556,0.001388889,54,0.208172202,-1.16315081,0.238095238,0.761904762,N,1
C5 T2,9,5,E,N,4006,716.63,0.947804178,08/15/2014,08/27/2014,12,16,08/31/2014,16,10,09/04/14,20,7,09/07/14,23,9,09/12/14,28,9,09/16/2014,32,9,,,,,,,,09/17/2014,0.046,0.048,0.045,0.046333333,0.048055556,0.001722222,60,0.222518719,-1.16315081,0.238095238,0.761904762,N,1
C5 T3,22,5,E,N,4075,731.456,0.967412825,08/16/2014,08/25/2014,9,12,08/28/2014,12,15,09/01/14,16,6,09/05/14,20,9,09/09/14,24,6,09/13/2014,28,8,09/17/2014,32,10,,,,,09/18/2014,0.043,0.05,0.044,0.045666667,0.047722222,0.002055556,66,0.186574804,-1.16315081,0.238095238,0.761904762,N,1
C5 T3,17,5,E,N,4081,724.054,0.95762305,08/16/2014,08/25/2014,9,13,08/29/2014,13,5,09/02/14,17,9,09/06/14,21,7,09/10/14,25,6,09/14/2014,29,8,09/18/2014,33,13,,,,,09/18/2014,0.044,0.047,0.045,0.045333333,0.047722222,0.002388889,61,0.203931794,-1.16315081,0.238095238,0.761904762,N,1
C5 T3,14,5,E,N,4083,713.8,0.944061262,08/16/2014,08/27/2014,11,7,08/31/2014,15,5,09/04/14,19,9,09/08/14,23,10,09/12/14,27,11,09/16/2014,31,8,,,,,,,,09/18/2014,0.047,0.047,0.045,0.046333333,0.047722222,0.001388889,50,0.229914793,-1.16315081,0.238095238,0.761904762,N,1
