Replicate,Clutch,e/u,photo N,photo N 2,Pixels,Length
2,1,e,447,447,284.754,0.465256946
27,1,u,530,530,420.476,0.687011875
28,1,u,533,533,482.999,0.789167631
29,1,u,535,535,358.808,0.586253096
30,1,u,536,536,366.296,0.598487671
31,1,u,539,539,377.992,0.617597658
32,1,u,541,541,331.617,0.541825971
2,2,u,555,555,514.187,0.840125417
3,2,u,557,557,510.004,0.833290852
4,2,u,585,585,507.909,0.829867851
5,2,u,559,559,552.612,0.902907672
6,2,u,561,561,509.313,0.832161834
7,2,u,563,563,502.323,0.820740937
8,2,u,565,565,587.799,0.960399388
9,2,u,587,587,542.561,0.886485435
10,2,u,588,588,526.095,0.859581789
11,2,u,590,590,498.738,0.814883438
12,2,u,567,567,523.259,0.854948075
13,2,u,594,594,553.913,0.905033364
14,2,u,569,569,547.883,0.895181002
15,2,u,596,596,550.294,0.899120313
16,2,u,598,598,572.894,0.936046246
17,2,u,571,571,529.819,0.865666399
18,2,u,600,600,521.387,0.851889431
19,2,u,602,602,496.258,0.810831389
20,2,u,604,604,513.069,0.838298728
21,2,u,606,606,519.249,0.848396173
22,2,u,607,607,523.198,0.854848408
23,2,u,609,610,495.358,0.809360887
24,2,u,612,612,539.529,0.881531479
25,2,u,614,614,508.744,0.83123215
26,2,u,615,615,479.27,0.783074852
27,2,u,618,618,509.117,0.831841591
29,2,u,620,620,523.717,0.855696397
30,2,u,622,622,520.096,0.849780078
31,2,u,623,623,534.176,0.872785261
32,2,u,625,625,503.15,0.822092165
2,3,u,655,655,555.01,0.906825742
3,3,u,655,656,566.057,0.924875334
4,3,u,765,765,559.804,0.914658615
5,3,u,767,767,539.896,0.882131116
6,3,u,769,769,538.817,0.880368148
7,3,u,771,771,552.768,0.903162559
8,3,u,773,773,548.893,0.896831232
9,3,u,775,775,558.917,0.913209354
10,3,u,777,777,587.639,0.960137966
13,3,u,779,779,581.532,0.950159795
14,3,u,781,781,560.346,0.915544184
15,3,u,783,783,552.612,0.902907672
16,3,u,784,784,548.821,0.896713592
17,3,u,787,787,541.117,0.884126097
18,3,u,789,789,562.91,0.91973348
22,3,u,790,790,584.661,0.955272239
23,3,u,792,792,564.358,0.922099354
24,3,u,832,832,541.424,0.884627702
25,3,u,837,837,582.742,0.952136802
26,3,u,841,841,528.136,0.86291656
27,3,u,843,843,577.751,0.943982053
29,3,u,845,845,565.208,0.923488161
30,3,u,847,847,566.427,0.925479874
31,3,u,850,850,581.986,0.950901581
32,3,u,851,851,566.777,0.926051736
2,5,u,968,968,553.408,0.904208249
3,5,u,975,975,596.805,0.975114209
4,5,u,977,977,547.087,0.893880425
5,5,u,993,993,603.036,0.985294983
6,5,u,979,979,578.415,0.945066957
7,5,u,981,981,570.827,0.932668993
9,5,u,995,995,588.003,0.960732702
10,5,u,997,997,580.954,0.949215406
11,5,u,999,999,534.692,0.873628349
13,5,u,1001,1001,557.853,0.911470894
14,5,u,983,983,596.084,0.973936174
15,5,u,984,984,583.095,0.952713566
16,5,u,1003,1003,588.32,0.961250645
17,5,u,987,987,582.742,0.952136802
18,5,u,1005,1005,539.807,0.8819857
19,5,u,989,989,558.032,0.91176336
20,5,u,1011,1011,596.607,0.974790699
21,5,u,1024,1024,604.07,0.986984426
22,5,u,1007,1007,551.804,0.901587488
23,5,u,1009,1009,450.124,0.73545347
27,5,u,1022,1022,576.267,0.941557359
30,5,u,1016,1016,549.927,0.898520675
31,5,u,1018,1018,594.834,0.97189381
32,5,u,1020,1020,581.986,0.950901581
